ticker,horizon,sigs_2025,wr_2025
AAPL,10,3,33.33
AAPL,15,3,33.33
ACGL,10,5,40.0
ACN,20,4,0.0
ADBE,20,6,33.33
ADP,10,9,22.22
ADP,15,6,0.0
ADP,20,6,16.67
AFL,10,3,33.33
AIG,10,3,33.33
AMAT,20,4,25.0
AMCR,15,9,33.33
AME,10,3,33.33
AMZN,15,17,29.41
AMZN,20,11,18.18
AOS,15,4,25.0
APD,20,3,33.33
APO,10,35,37.14
APO,20,20,35.0
APP,10,45,33.33
AVGO,20,3,33.33
AWK,20,7,14.29
AXP,20,9,33.33
AZO,20,5,40.0
BAX,10,18,38.89
BAX,20,10,30.0
BG,15,5,40.0
BLDR,10,3,33.33
BLDR,20,4,25.0
BR,15,3,33.33
BR,20,3,33.33
BX,10,13,38.46
BX,15,11,36.36
CB,10,3,33.33
CHTR,10,20,35.0
CL,15,3,33.33
CLX,15,8,37.5
CMCSA,15,7,28.57
CMG,10,14,35.71
CMG,15,15,26.67
CMG,20,14,28.57
CMI,10,14,35.71
COST,10,9,22.22
COST,20,9,33.33
CRL,10,22,36.36
CSGP,15,5,20.0
D,15,3,33.33
DAL,10,8,37.5
DDOG,10,18,22.22
DDOG,15,17,29.41
DECK,10,14,28.57
DOC,10,7,14.29
DOV,15,5,20.0
DOW,10,5,40.0
DPZ,15,11,36.36
DRI,15,4,25.0
DVA,10,12,25.0
DVA,15,7,14.29
DVA,20,10,10.0
DXCM,10,15,33.33
EOG,10,11,36.36
EOG,15,4,25.0
EOG,20,9,33.33
EPAM,15,4,25.0
EQIX,15,10,30.0
EQR,15,5,40.0
ETR,15,3,33.33
EW,20,3,33.33
EXC,15,3,33.33
EXE,20,3,33.33
FDS,20,10,40.0
FICO,15,15,26.67
FISV,10,14,35.71
FIX,15,3,0.0
FTV,10,6,16.67
FTV,15,6,33.33
FTV,20,7,28.57
GDDY,15,6,33.33
GDDY,20,5,40.0
GILD,15,5,40.0
GL,20,3,33.33
GNRC,10,11,36.36
GRMN,10,6,33.33
HRL,15,7,28.57
HUM,10,4,0.0
HUM,15,3,33.33
IBKR,20,11,36.36
INTU,15,3,33.33
INTU,20,4,25.0
INVH,10,4,25.0
IQV,15,15,40.0
IQV,20,5,20.0
IT,15,18,27.78
IVZ,10,10,20.0
IVZ,15,4,25.0
JBL,15,6,33.33
KHC,20,3,33.33
KIM,10,5,20.0
KIM,15,5,20.0
KKR,20,5,40.0
LDOS,20,14,21.43
LII,20,8,37.5
LITE,10,10,20.0
LITE,20,3,33.33
LOW,20,9,33.33
LYB,10,10,40.0
LYB,20,11,27.27
LYV,15,5,40.0
MA,10,3,33.33
MAA,10,11,36.36
MAA,15,5,40.0
MAS,10,6,33.33
MDLZ,15,3,33.33
META,15,16,31.25
MO,10,3,33.33
MO,15,3,33.33
MRK,15,4,25.0
MRSH,10,6,33.33
MSI,10,6,33.33
MSI,15,4,25.0
MSI,20,8,25.0
MTB,10,3,0.0
MTB,20,5,40.0
MTD,10,6,33.33
MTD,20,3,33.33
NDAQ,15,5,20.0
NDSN,10,6,33.33
NDSN,15,3,0.0
NI,20,3,33.33
NOW,10,8,37.5
NOW,15,12,33.33
NOW,20,8,25.0
NVR,20,3,33.33
NXPI,15,8,37.5
O,10,3,33.33
ODFL,10,9,33.33
ODFL,15,8,25.0
ODFL,20,7,14.29
OKE,15,12,16.67
ORCL,10,22,31.82
PEG,10,5,40.0
PEG,15,11,18.18
PEP,15,3,33.33
PGR,15,16,37.5
PGR,20,11,27.27
PH,10,13,38.46
PH,15,5,40.0
PH,20,4,25.0
PHM,20,9,33.33
PLTR,20,6,33.33
PNR,20,8,12.5
PNW,15,3,33.33
POOL,20,9,22.22
PRU,10,11,36.36
PSA,10,7,28.57
PSA,15,8,25.0
PSA,20,3,33.33
PTC,15,13,38.46
PYPL,10,28,35.71
PYPL,15,13,30.77
PYPL,20,8,25.0
REGN,15,3,33.33
REGN,20,5,40.0
RMD,20,9,33.33
ROST,15,6,16.67
SCHW,20,3,33.33
SNPS,20,15,40.0
SO,10,4,25.0
SO,20,3,0.0
SPG,10,6,16.67
STLD,10,3,33.33
STT,20,6,33.33
SW,20,16,25.0
SYF,15,3,33.33
SYK,20,4,25.0
TDG,10,8,37.5
TDG,15,10,30.0
TDY,10,4,25.0
TDY,15,7,28.57
TFC,15,5,40.0
TGT,15,15,40.0
TGT,20,13,38.46
TRGP,20,20,30.0
TROW,15,6,33.33
TROW,20,4,25.0
TSCO,10,8,37.5
TT,10,8,37.5
TT,15,17,29.41
TTD,10,11,36.36
TTD,15,25,40.0
UDR,10,5,40.0
UDR,15,5,40.0
UDR,20,3,0.0
UNH,20,11,27.27
UPS,15,14,35.71
UPS,20,3,33.33
VTR,15,3,0.0
WAB,10,14,28.57
WAB,15,9,33.33
WAT,15,11,36.36
WAT,20,8,37.5
WMB,10,26,34.62
WMB,20,8,25.0
WST,15,17,23.53
WY,20,3,33.33
XEL,15,3,33.33
ZBRA,20,10,40.0
